latitudes,longitudes,median_income,GEOID,agg_travel_time_min,workers_who_commute,total_pop,tract_name
38.577775081782036,-121.53245911599073,47788.0,06113010204,38775.0,1881.0,5189.0,"Census Tract 102.04, Yolo County, California"
38.572261859409444,-121.52278188681926,66172.0,06113010201,41315.0,2015.0,3549.0,"Census Tract 102.01, Yolo County, California"
38.419817030147605,-122.73417315391697,60640.0,06097153103,47590.0,2022.0,4507.0,"Census Tract 1531.03, Sonoma County, California"
38.45923965571233,-122.7228637384022,69074.0,06097152100,23035.0,1208.0,3136.0,"Census Tract 1521, Sonoma County, California"
38.43402547266176,-122.73835909598955,65701.0,06097153003,66495.0,2655.0,5669.0,"Census Tract 1530.03, Sonoma County, California"
38.42010826782077,-122.7216604653524,81189.0,06097153102,67580.0,3111.0,5976.0,"Census Tract 1531.02, Sonoma County, California"
38.43518006924505,-122.70835080829522,50282.0,06097151900,37755.0,1676.0,3286.0,"Census Tract 1519, Sonoma County, California"
38.45107976765189,-122.66584040958432,76691.0,06097151700,79815.0,3284.0,7457.0,"Census Tract 1517, Sonoma County, California"
38.54268143055423,-122.80808746298872,72841.0,06097153808,52265.0,2361.0,4393.0,"Census Tract 1538.08, Sonoma County, California"
38.45093907770227,-122.73674261783137,54106.0,06097153001,81915.0,3702.0,7147.0,"Census Tract 1530.01, Sonoma County, California"
38.4410974429027,-122.73276450632673,81911.0,06097153002,77775.0,3555.0,6864.0,"Census Tract 1530.02, Sonoma County, California"
38.35629022614825,-122.69984525043225,65119.0,06097151308,59925.0,2085.0,5119.0,"Census Tract 1513.08, Sonoma County, California"
38.465581654221054,-122.65680730700531,69933.0,06097152501,58115.0,2295.0,4352.0,"Census Tract 1525.01, Sonoma County, California"
38.254490761712475,-122.61794147560812,77690.0,06097150603,114510.0,3494.0,7691.0,"Census Tract 1506.03, Sonoma County, California"
38.44833819873442,-122.70703545920912,57679.0,06097152203,33740.0,1697.0,3535.0,"Census Tract 1522.03, Sonoma County, California"
38.33928395354194,-122.68255432896848,75025.0,06097151310,73590.0,3001.0,5716.0,"Census Tract 1513.10, Sonoma County, California"
38.61208447667158,-122.86714911488414,76250.0,06097153902,44455.0,2203.0,4617.0,"Census Tract 1539.02, Sonoma County, California"
38.42887736329981,-122.72746383784146,52132.0,06097153104,46955.0,1997.0,3949.0,"Census Tract 1531.04, Sonoma County, California"
38.441642232451095,-122.71330109560459,49856.0,06097152000,22880.0,1087.0,1980.0,"Census Tract 1520, Sonoma County, California"
38.397742976463896,-122.7058296954579,50059.0,06097151402,113120.0,4496.0,9853.0,"Census Tract 1514.02, Sonoma County, California"
38.46706183356917,-122.67534339021621,67887.0,06097152202,74915.0,2920.0,6510.0,"Census Tract 1522.02, Sonoma County, California"
38.457344121358055,-122.74813603069202,70136.0,06097152903,59585.0,2739.0,5488.0,"Census Tract 1529.03, Sonoma County, California"
38.4784292642407,-122.66414343596092,58125.0,06097152502,40030.0,1608.0,3782.0,"Census Tract 1525.02, Sonoma County, California"
38.46515441174779,-122.73569281496061,50691.0,06097152802,74635.0,3618.0,7564.0,"Census Tract 1528.02, Sonoma County, California"
38.347139078322755,-122.69327682823135,63125.0,06097151306,55025.0,1915.0,3841.0,"Census Tract 1513.06, Sonoma County, California"
38.44329424069491,-122.75841526483308,69722.0,06097153006,109375.0,4040.0,8199.0,"Census Tract 1530.06, Sonoma County, California"
38.45703037565423,-122.712844451288,58333.0,06097152201,45385.0,2146.0,3937.0,"Census Tract 1522.01, Sonoma County, California"
38.343389802255714,-122.70670090660404,52375.0,06097151305,84765.0,3029.0,6038.0,"Census Tract 1513.05, Sonoma County, California"
38.33422871723701,-122.70018794033209,62809.0,06097151301,65540.0,2432.0,4970.0,"Census Tract 1513.01, Sonoma County, California"
38.24738586167435,-122.64262808401269,64772.0,06097150901,70415.0,2478.0,5053.0,"Census Tract 1509.01, Sonoma County, California"
38.325947286752196,-122.49268955052952,66510.0,06097150305,62185.0,2655.0,6183.0,"Census Tract 1503.05, Sonoma County, California"
38.31109953241628,-122.3010932335705,68950.0,06055200501,49300.0,2585.0,5011.0,"Census Tract 2005.01, Napa County, California"
